student_id,age,sex,course,yr_level,socioeconomic_stat,fam_support,working_stud,scholar,personality_type,TM1,TM2,TM3,TM4,TM5,TM6,TM7,CAP1,CAP2,CAP3,CAP4,GSS1,GSS2,GSS3,GSS4,GSS5,GSS6,GSS7,EP1,EP2,EP3,EP4,EP5,EP6,NT1,NT2,NT3,desktop,laptop,mobile_phone,tablet,wifi,prepaid-wifi,cellular_data,hotspot,vhigh_speed,high_speed,moderate_speed,light_speed,GPA,gpa_range
2021-01592,19,F,CD,2,low,yes,no,yes,ISTJ,always,sometimes,sometimes,always,always,always,always,always,always,always,always,always,always,sometimes,sometimes,always,always,always,always,always,sometimes,always,sometimes,never,always,always,always,sometimes,always,always,never,never,always,always,sometimes,always,always,sometimes,sometimes,1.5588,Superior
2021-02910,19,F,CD,2,lower middle,yes,no,no,ESFJ,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,1.3824,Superior
2021-02862,19,F,CD,2,low,yes,no,no,ENTP,sometimes,never,always,never,always,sometimes,sometimes,always,always,sometimes,always,sometimes,always,sometimes,sometimes,sometimes,sometimes,always,always,always,never,never,sometimes,sometimes,sometimes,sometimes,never,always,never,sometimes,an,always,never,always,sometimes,sometimes,always,sometimes,sometimes,1.5882,Superior
2021-02890,19,F,CD,2,lower middle,yes,yes,no,ESFJ,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,always,always,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,never,never,sometimes,always,sometimes,always,sometimes,never,always,never,always,sometimes,never,sometimes,sometimes,sometimes,always,sometimes,1.5,Superior
2020-04136,20,F,CD,2,low,yes,no,no,ISFJ,always,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,always,sometimes,always,sometimes,always,sometimes,always,Sometimes,sometimes,always,always,always,sometimes,sometimes,always,sometimes,sometimes,always,sometimes,never,sometimes,always,sometimes,sometimes,never,sometimes,sometimes,never,sometimes,sometimes,always,1.4347,Superior
2020-02817,21,F,CD,2,low,yes,no,no,ENFJ,sometimes,sometimes,sometimes,always,sometimes,never,sometimes,always,always,sometimes,sometimes,always,always,sometimes,always,sometimes,always,always,always,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,never,never,always,always,sometimes,always,never,always,never,Sometimes,sometimes,sometimes,always,2.25,Satisfactory
2021-02734,19,F,CD,2,low,yes,no,no,ISTJ,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,sometimes,sometimes,sometimes,sometimes,always,never,never,sometimes,never,sometimes,never,sometimes,never,never,never,sometimes,never,1.5,Superior
2021-01674,21,F,CD,2,low,no,yes,no,INFJ,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,always,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,never,sometimes,sometimes,sometimes,sometimes,never,sometimes,always,never,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,1.5294,Superior
2021-01715,19,F,CD,2,low,yes,no,no,ISFP,always,sometimes,sometimes,never,sometimes,always,always,always,always,always,sometimes,always,always,sometimes,sometimes,always,sometimes,always,always,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,1.7206,Superior
2021-01769,19,F,CD,2,low,yes,no,no,ISFJ,sometimes,sometimes,sometimes,sometimes,sometimes,never,always,always,always,sometimes,always,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,never,always,sometimes,always,sometimes,never,never,always,never,never,never,always,never,never,never,sometimes,always,1.5,Superior
2021-03111,20,F,CD,2,middle,yes,no,no,ESFJ,always,always,always,always,always,always,always,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,sometimes,always,always,always,always,always,always,always,always,always,always,always,always,always,sometimes,always,sometimes,always,always,always,sometimes,always,never,always,sometimes,2.1029,Satisfactory
2021-01685,19,F,CD,2,low,yes,no,no,INTJ,never,always,never,never,never,never,never,sometimes,always,always,sometimes,always,sometimes,always,never,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,never,never,sometimes,never,never,never,always,never,always,never,always,sometimes,sometimes,sometimes,sometimes,1.6765,Superior
2021-01534,25,M,CD,2,upper middle,no,yes,yes,ENTJ,sometimes,sometimes,always,sometimes,sometimes,always,sometimes,always,always,sometimes,sometimes,sometimes,always,never,sometimes,always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,sometimes,never,never,always,never,never,never,always,sometimes,sometimes,sometimes,sometimes,sometimes,1.5441,Superior
2021-00603,18,F,CD,2,low,yes,no,no,ESTP,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,always,sometimes,always,always,always,always,always,always,always,always,always,always,always,never,always,never,always,1.4706,Superior
